Wordnet name , Name index , is object counts , is part counts , ADE names , Attributes , Has parts , Is part of 
ticket counter,2761,15,0,ticket counter,,,
tool,2805,15,0,tool,gardening,,
tools,2808,15,0,tools,,,
barricade,133,14,0,barricade,,,
bathrobe,154,14,0,bathrobe,,,
beer machine,173,14,0,beer machine,,,
bullring,319,14,0,bullring,,,
chip,498,14,0,chip,,,
coaster,549,14,0,coaster,,,
cows,640,14,0,cows,,,
fire alarm,932,14,0,fire alarm,,,
floor spotlight,975,14,0,floor spotlight,"accent, direct, on, punctual",,
girder,1094,14,0,girder,,,
hairdresser chair,1164,14,0,hairdresser chair,,"apron, arm, arm support, back, footrest, piston, seat",
headstones,1218,14,0,headstones,,,
hobby-horse,1253,12,2,hobby-horse,,carousel,
hole,1256,14,0,hole,,,
inflatable bounce game,1322,14,0,inflatable bounce game,,window,
landfill,1402,14,0,landfill,,"bag, box, bucket, can, cushion, mattress",
lantern,1404,14,0,lantern,,,
log,1468,13,1,log,wood,"rocking chair, rocker",
pigeonhole,1863,14,0,pigeonhole,,,
scrub,2260,14,0,scrub,,,
seating,2278,14,0,seating,,,
set of instruments,2301,14,0,set of instruments,,,
shore,2352,14,0,shore,,,
ski lift,2401,14,0,ski lift,,,
sponge,2503,14,0,sponge,,,
street box,2607,14,0,street box,,door,
swings,2672,14,0,swings,,,
water wheel,3013,14,0,water wheel,,,
watering can,3017,14,0,watering can,,handle,
cloudy sky,3182,14,0,cloudy sky,,,
"wave, moving ridge",3357,14,0,"wave, waves",,,
bat,152,13,0,bat,,,
big top,190,13,0,big top,,,
bracelet,273,13,0,bracelet,,,
cave,434,13,0,cave,,,
coffin,572,13,0,coffin,,,
containers,598,13,0,containers,glass,,
control panel,602,12,1,control panel,,machine,
dune,819,13,0,dune,,,
factory,891,13,0,factory,,"chimney, door, window",
fire,931,13,0,fire,,,
gas station,1078,13,0,gas station,,"column, petrol pump, sign",
ground desert,1146,13,0,ground desert,,,
hair spray,1162,13,0,hair spray,,,
margarine,1501,13,0,margarine,,,
material rolls,1511,13,0,material rolls,,,
paving stone,1795,13,0,paving stone,,,
pens,1823,13,0,pens,,,
poles,1938,13,0,poles,,,
post-it,1960,13,0,post-it,,,
rope bridge,2161,13,0,rope bridge,,,
rudder,2177,12,1,rudder,,instrument panel,
shed,2323,13,0,shed,,"door, double door, metal shutter, roof, window",
spade,2482,13,0,spade,,,
spray,2512,13,0,spray,,,
stuffed animal head,2628,13,0,stuffed animal head,,,
table cloth,2686,13,0,table cloth,,,
tablecloth,2693,13,0,tablecloth,,,
temple,2735,13,0,temple,,"door, roof, window",
trash bag,2846,13,0,trash bag,,,
"cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM",3128,13,0,atm,,,
bookend,240,12,0,bookend,,,
calculator,360,12,0,calculator,,,
candles,377,12,0,candles,,,
catwalk,432,12,0,catwalk,wood,,
chair desk,472,12,0,chair desk,,,
cigar box,511,12,0,cigar box,,,
cover curtain,635,12,0,cover curtain,,,
dvds,827,12,0,dvds,,,
flask,960,12,0,flask,,,
golf cart,1110,12,0,golf cart,,wheel,
gun,1155,12,0,gun,,,
iron,1338,12,0,iron,,,
joist,1354,12,0,joist,,,
loudspeaker,1473,12,0,loudspeaker,,,
mosque,1596,12,0,mosque,,"balcony, column, dome, door, tower, window",
napkin rack,1642,12,0,napkin rack,,,
pack of cigarettes,1716,12,0,pack of cigarettes,,,
pillows,1870,12,0,pillows,,,
plate mat,1920,12,0,plate mat,,,
poncho,1940,12,0,poncho,,,
railway tie,2062,12,0,railway tie,,,
reels,2094,12,0,reels,,,
ribbon,2106,10,2,ribbon,pink,book,
rubble,2176,12,0,rubble,,,
savanna,2232,12,0,savanna,,,
score,2245,12,0,score,,,
shipyard,2338,12,0,shipyard,,,
shower curtain,2357,12,0,shower curtain,opaque,,
sinks,2391,12,0,sinks,,,
skimmer,2409,12,0,skimmer,,,
skis,2414,12,0,skis,,,
stalactites,2534,12,0,stalactites,,,
throne,2758,12,0,throne,,"arm, back, leg, seat",
toll booth,2795,12,0,toll booth,,"door, window",
viaduct,2949,12,0,viaduct,,,
village,2957,12,0,village,,,
"videocassette recorder, VCR",3152,12,0,vcr,,,
acropolis,5,11,0,acropolis,,column,
baptismal font,121,11,0,baptismal font,,,
belt,177,11,0,belt,,,
bicycle rack,185,11,0,bicycle rack,,,
"box office, ticket office, ticket booth",268,11,0,ticket booth,,ticket window,
bread box,280,11,0,bread box,,,
bulbs,314,11,0,bulbs,on,,
buttress,344,11,0,buttress,,,
cages,358,11,0,cages,,,
clothing,541,11,0,clothing,,,
dartboard,699,10,1,dartboard,,"board, plank",
digital clock,735,10,1,digital clock,time,"alarm clock, alarm",
flag pole,955,11,0,flag pole,,,
footpath,1014,11,0,footpath,cobbled,,
garbage,1064,11,0,garbage,,,
garland,1066,11,0,garland,,,
hairbrush,1163,11,0,hairbrush,,,
ice shelf,1302,11,0,ice shelf,,,
igloo,1310,11,0,igloo,,,
index cards,1316,11,0,index cards,,,
kennel,1365,11,0,kennel,,"grille, roof",
lab bench,1383,11,0,lab bench,,drawer,
labyrinth,1390,11,0,labyrinth,,,
lampshade,1399,11,0,lampshade,glass,,
paint brushes,1730,11,0,paint brushes,,,
parking lot,1778,11,0,parking lot,,parking space,
pumpkins,2021,11,0,pumpkins,,,
rake,2070,11,0,rake,,,
rubber ring,2173,11,0,rubber ring,,,
runner cloth,2184,11,0,runner cloth,,,
sandbox,2220,11,0,sandbox,,sand,
sping,2500,11,0,sping,,,
stationary bicycle,2546,11,0,stationary bicycle,,,
stump,2630,11,0,stump,,,
thermos,2753,11,0,thermos,,,
toaster oven,2783,11,0,toaster oven,,,
towel radiator,2825,11,0,towel radiator,,,
transformer,2844,11,0,transformer,,,
urinal,2913,11,0,urinal,,faucet,
vases,2933,11,0,vases,,,
weeds,3027,11,0,weeds,,,
wood art,3074,11,0,wood art,,,
antler,33,10,0,"antler, antlers",,,
cape,395,10,0,cape,,,
caps,397,10,0,caps,,,
card table,406,10,0,card table,,,
centerpiece,459,10,0,centerpiece,,,
chalk,477,10,0,chalk,,,
clipboard,528,10,0,clipboard,,,
coat rack,554,10,0,coat rack,,,
confessional booth,592,10,0,confessional booth,,"door, pane",
cover,634,9,1,cover,wood,chest,
covered bridge,636,10,0,covered bridge,,,
cubicles,671,10,0,cubicles,,,
cups,679,10,0,cups,paper,,
curtain cover,685,10,0,curtain cover,,,
desk mat,726,10,0,desk mat,,,
doll,767,10,0,doll,,,
exercise bike,873,10,0,exercise bike,,,
fences,908,10,0,fences,,,
first floor,947,10,0,first floor,,,
flyer,985,10,0,flyer,,,
grill,1138,9,1,grill,,buttons panel,stove
ham,1170,10,0,ham,,,
headstone cross,1217,10,0,headstone cross,,,
label tag,1385,10,0,label tag,,,
leather,1421,10,0,leather,,,
miniature chair,1561,10,0,miniature chair,,,
oar,1673,10,0,oar,"handle only, paddle only",,
palette,1738,10,0,palette,,,
pinball,1873,10,0,pinball,,,
power point,1996,10,0,power point,,,
rainbow,2068,10,0,rainbow,,,
seal,2268,10,0,seal,pup,,
shawl,2322,10,0,shawl,,,
ski,2400,10,0,ski,,,
skirting board,2412,10,0,skirting board,,,
socks,2471,10,0,socks,,,
sports bag,2508,10,0,sports bag,,,
stereo,2572,10,0,stereo,,,
tableland,2695,10,0,tableland,,,
ticket office,2763,8,2,ticket office,,"building, edifice",
tiger,2768,10,0,tiger,wood,,
tombstones,2802,10,0,tombstones,,,
treadmill,2853,10,0,treadmill,,,
urn,2914,10,0,urn,,,
vanity,2930,10,0,vanity,,mirror,
watch,2992,10,0,watch,,,
wheat,3033,10,0,wheat,,,
witness stand,3071,10,0,witness stand,,,
wreath,3091,10,0,wreath,,,
arcade machines,48,9,0,arcade machines,,,
backdrop,87,9,0,backdrop,,,
basin,143,9,0,basin,,"handle, opening",
bleachers,209,9,0,bleachers,,,
cables,355,9,0,cables,,,
canal,372,9,0,canal,,,
coffee pot,570,9,0,coffee pot,,,
control table,606,9,0,control table,,,
creamer,654,9,0,creamer,,,
diving board,760,9,0,diving board,,,
doorbell,777,5,4,doorbell,,"building, edifice",
elevator doors,852,9,0,elevator doors,,,
fire engine,937,9,0,fire engine,,,
grating,1129,9,0,grating,,,
hillside,1246,9,0,hillside,grassy,"bushes, rock, rocks, shrub",
moss,1597,9,0,moss,,,
observatory,1675,9,0,observatory,,door,
oil lamp,1684,9,0,oil lamp,,,
ornament,1698,9,0,ornament,"angel, moon",,
padlock,1725,8,1,padlock,,door,
pet dish,1834,9,0,pet dish,,,
photo machine,1846,9,0,photo machine,,,
roads,2133,9,0,roads,,,
rocky wall,2147,9,0,rocky wall,,,
scotch tape,2247,9,0,scotch tape,,,
sofa bed,2472,9,0,sofa bed,,"back, inside arm, leg, seat, seat base, seat cushion",
tanks,2707,9,0,tanks,,,
tires,2778,9,0,tires,,,
water surf,3009,9,0,water surf,,,
well,3032,9,0,well,,,
wok,3072,9,0,wok,,,
"andiron, firedog, dog, dog-iron",3119,9,0,"andiron, andirons",,,
"central processing unit, CPU, C P U , central processor, processor, mainframe",3133,9,0,cpu,,,
white board,3201,9,0,white board,,,
bar lift,124,8,0,bar lift,,,
bottle pack,250,8,0,bottle pack,,,
bull,315,8,0,bull,,,
buoy,322,8,0,buoy,,,
camcorder,363,8,0,camcorder,,,
camel,364,8,0,camel,,,
cardboard,407,8,0,cardboard,,,
cassette,427,8,0,cassette,,,
castle,429,8,0,castle,,,
cookie,611,8,0,cookie,,,
counters,628,8,0,counters,,,
creeper,655,8,0,creeper,,,
cue rack,674,8,0,cue rack,,cue,
decanter,701,8,0,decanter,,,
drum,809,8,0,drum,,,
drums,810,8,0,drums,,,
dye,830,8,0,dye,,,
envelope,863,8,0,envelope,,,
fax machine,899,8,0,fax machine,,,
feeder,901,8,0,feeder,,,
ferris wheel,912,8,0,ferris wheel,,,
fire utensils,941,8,0,fire utensils,,,
fireplace utensils,942,8,0,fireplace utensils,,,
font,999,8,0,font,,,
fort,1022,8,0,fort,,"door, window",
freight goods,1028,8,0,freight goods,,,
gangway,1059,8,0,gangway,,"floor, railing",
golf bag,1108,8,0,golf bag,,,
goose,1114,8,0,goose,,,
"hinge, flexible joint",1248,8,0,hinge,,,
howdah,1283,8,0,howdah,,,
idol,1309,8,0,idol,,,
ironing board,1342,8,0,ironing board,,,
ladle,1392,8,0,ladle,,,
lemon,1435,8,0,lemon,,,
microscope,1550,8,0,microscope,,,
notes,1665,8,0,notes,,,
obelisk,1674,8,0,obelisk,,,
pencil,1814,8,0,pencil,,,
pilon,1871,8,0,pilon,,,
post light,1959,8,0,post light,,,
ranch,2073,8,0,ranch,,"door, window",
root,2157,8,0,root,,,
seat belt,2274,8,0,seat belt,,,
shower tray,2363,8,0,shower tray,,,
skip,2410,8,0,skip,,,
skirts,2413,8,0,skirts,,,
skyscrapers,2424,8,0,skyscrapers,,,
small table,2448,8,0,small table,,,
smoke detector,2450,8,0,smoke detector,,,
stables,2524,8,0,stables,,,
sticks,2576,8,0,sticks,,,
stone ball,2583,8,0,stone ball,,,
strainer,2599,8,0,strainer,,,
street number,2612,8,0,street number,,,
swing,2670,5,3,swing,,playground,
table mat,2689,8,0,table mat,,,
thermometer,2752,8,0,thermometer,,face,
toll gate,2796,8,0,toll gate,,,
toolbox,2807,8,0,toolbox,,,
tundra,2891,8,0,tundra,,,
umbrellas,2904,8,0,umbrellas,,,
valve,2927,8,0,valve,,,
water cooler,2997,8,0,water cooler,,,
waterway,3019,8,0,waterway,,,
wood blocks,3075,8,0,wood blocks,,,
"worktable, work table",3090,8,0,work table,,,
puf,3188,8,0,puf,,,
sky scraper,3377,8,0,sky scraper,,,
articulated lamp,62,7,0,articulated lamp,off,,
baggage carts,99,7,0,baggage carts,,,
barbed wire,126,7,0,barbed wire,,,
bicycle racks,186,7,0,bicycle racks,,,
blankets,207,7,0,blankets,,,
bollard,229,7,0,bollard,,,
bowling ball return,262,7,0,bowling ball return,,,
bread basket,279,7,0,bread basket,full,,
buckets,304,7,0,buckets,,,
bud,305,7,0,bud,,,
canyon,392,7,0,canyon,background,,
cave entrance,435,7,0,cave entrance,,,
"cistern, water tank",519,7,0,cistern,tank,,
coat of arms,553,7,0,coat of arms,,,
columbarium niche,579,7,0,columbarium niche,,,
comforter,584,7,0,comforter,white,,
console,593,7,0,console,,"buttons, dial, handle, instrument, paper, screen, switch, switches",
crevasse,656,7,0,crevasse,,,
cushions,690,7,0,cushions,,,
drift ice,801,7,0,drift ice,,,
egg,841,7,0,egg,,,
engine,858,7,0,engine,turbine,,
file,919,7,0,file,,,
file cabinets,923,7,0,file cabinets,,,
flags,956,7,0,flags,,,
funfair,1044,7,0,funfair,,,
graphic equalizer,1124,7,0,graphic equalizer,,,
grassland,1126,7,0,grassland,background,,
gripper,1144,7,0,gripper,,,
incense,1312,7,0,incense,,,
"light, light source",1451,7,0,"light source, lights","diffused, general, on, surface","ceiling recessed light, diffusor, light source",
lockgate,1464,7,0,lockgate,,,
materials,1512,7,0,materials,"being winched, work",,
moon,1588,7,0,moon,,,
newspaper stand,1654,7,0,newspaper stand,,,
packages,1719,7,0,packages,,,
paint brush,1729,7,0,paint brush,,,
palisade,1739,7,0,palisade,,,
penguin,1822,7,0,penguin,,,
pinecone,1878,7,0,"pinecone, pinecones",,,
placard,1894,7,0,placard,,,
potters wheel,1985,7,0,potters wheel,,,
pulley,2018,7,0,pulley,,,
rails,2059,7,0,rails,,,
remains,2098,7,0,remains,,,
ropes,2162,7,0,ropes,,,
security door,2286,7,0,security door,,,
skywalk,2425,7,0,skywalk,,,
sled,2429,7,0,sled,,,
undergrowth,2907,7,0,undergrowth,,,
vine,2958,7,0,vine,,,
walkway,2977,7,0,walkway,,,
window scarf,3054,6,1,window scarf,,"car, auto, automobile, machine, motorcar",
wine rack,3059,7,0,wine rack,,bottle,
"anchor, ground tackle",3111,7,0,anchor,,,
"tarmacadam, tarmac, macadam",3125,7,0,tarmac,ground,,
rocky ground,3200,7,0,rocky ground,,,
aircraft,3303,7,0,aircraft,,,
auxiliary trolley,72,6,0,auxiliary trolley,,,
beams,162,6,0,beams,wooden,,
bidon,189,6,0,bidon,,,
binoculars,197,6,0,binoculars,,,
birdcage,199,6,0,birdcage,,,
blast furnace,208,6,0,blast furnace,,,
blouse,216,6,0,blouse,,,
blusher brush,217,6,0,blusher brush,,,
bone,232,6,0,bone,,,
bow,257,6,0,bow,,,
bowling pin,263,6,0,bowling pin,,,
buffet,307,6,0,buffet,,,
buses,328,6,0,buses,,,
canes,384,6,0,canes,,,
canoe,388,6,0,canoe,,,
carriage,415,6,0,carriage,,"wheel, window",
chaise lounge,476,6,0,chaise lounge,,,
christmas tree,508,6,0,christmas tree,,,
city,520,6,0,city,,,
cloak,529,6,0,cloak,,,
coconut,562,6,0,coconut,,,
contrabass,599,6,0,contrabass,,,
cream tube,653,6,0,cream tube,,,
cruet,666,6,0,cruet,,,
decorative glass,711,6,0,decorative glass,,,
door bars,775,6,0,door bars,,,
dressing table,799,6,0,dressing table,,"drawer, mirror",
dried herbs,800,6,0,dried herbs,,,
dumbbell,816,6,0,dumbbell,,,
"entrance, entranceway, entryway, entry, entree",861,6,0,entrance,,,
floor recessed light,974,6,0,floor recessed light,"direct, general, on, punctual","highlight, light source",
folding chair,993,6,0,folding chair,,,
freezer,1026,6,0,freezer,,,
furrow,1050,6,0,furrow,,,
game,1053,6,0,game,,,
garlic,1067,6,0,garlic,,,
glacier,1095,6,0,glacier,,,
hammer,1171,6,0,hammer,,,
hard drive,1193,6,0,hard drive,,,
hollow,1258,6,0,hollow,,,
ice cone,1289,6,0,ice cone,,,
jetty,1352,6,0,jetty,,,
junk,1361,6,0,junk,,,
lighter,1452,6,0,lighter,,,
litter basket,1458,6,0,litter basket,,,
livestock,1459,6,0,livestock,,,
logs,1471,6,0,logs,,,
mausoleum,1514,6,0,mausoleum,,,
mechanical shovel,1523,6,0,mechanical shovel,,wheel,
notice board,1667,6,0,notice board,,,
onion,1688,6,0,onion,,,
package,1718,6,0,package,,,
pagoda,1727,6,0,pagoda,,,
pen set,1813,6,0,pen set,,,
plate rack,1921,6,0,plate rack,,,
platter,1926,6,0,platter,,,
pond water,1942,6,0,pond water,,,
portable fridge,1955,6,0,portable fridge,,handle,
rider,2111,6,0,rider,,,
salt shaker,2209,6,0,salt shaker,,,
sandpit,2221,6,0,sandpit,,,
sauce,2227,6,0,sauce,,,
scarfs,2240,6,0,scarfs,,,
schoolyard,2241,6,0,schoolyard,,,
scrubland,2261,6,0,scrubland,,,
sewer,2305,6,0,sewer,,,
shaker,2313,6,0,shaker,,,
sheep pen,2325,6,0,sheep pen,,,
shower door,2358,6,0,shower door,,handle,
skate,2393,6,0,skate,,,
ski lift cabin,2402,6,0,ski lift cabin,,,
ski slope,2405,6,0,ski slope,,,
slippers,2441,6,0,slippers,,,
stools,2587,6,0,stools,,,
street lights,2609,6,0,street lights,,,
stripe,2621,6,0,stripe,,,
strongroom,2625,6,0,strongroom,,,
stuffed head,2629,6,0,stuffed head,,,
surfboard,2654,6,0,surfboard,,,
swamp,2659,6,0,swamp,,,
sword,2681,6,0,sword,,,
tape,2710,6,0,tape,roll,,
terminal,2741,6,0,terminal,,,
toll plaza,2797,6,0,toll plaza,,,
towel paper,2823,6,0,towel paper,rack,,
tricycle,2862,6,0,tricycle,,,
umbrella stand,2903,6,0,umbrella stand,,,
warship,2987,6,0,warship,,,
water mill,3005,6,0,water mill,,window,
weight,3029,6,0,weight,,,
wig,3045,6,0,wig,,,
wind turbine,3048,6,0,"wind turbine, wind turbines","background, blade only",,
woodcarving,3079,6,0,woodcarving,,,
"playing field, athletic field, playing area, field",3127,6,0,playing field,,,
"alga, algae",3163,6,0,"alga, algae",,,
combine harvester,3240,6,0,combine harvester,,,
sausage,3265,6,0,sausage,,,
division,3326,6,0,division,,,
apple,39,5,0,"apple, apples",,,
award,75,5,0,award,,,
baby chair,80,5,0,baby chair,,,
ball rack,104,5,0,ball rack,,,
basketball court,148,5,0,basketball court,,,
batting cage,156,5,0,batting cage,,,
boiler,227,5,0,boiler,,,
bones,233,5,0,bones,,,
building materials,311,5,0,building materials,,,
business cards,331,5,0,business cards,,,
cassettes,428,5,0,cassettes,,,
cd,437,5,0,cd,,,
clamp lamp,522,5,0,clamp lamp,"accent, direct, general, indirect, off, on, punctual, task","arm, clamp, highlight, light source, shade",
cool box,613,5,0,cool box,,,
cooler,614,5,0,cooler,,,
cream,652,5,0,cream,,,
cues,676,5,0,cues,,,
deck chairs,705,5,0,deck chairs,,,
degree certificate,717,5,0,degree certificate,,,
dog dish,764,5,0,dog dish,,,
doily,766,5,0,doily,,,
drain pipe,785,4,1,drain pipe,,"building, edifice",
drill,802,5,0,drill,,,
driveway,806,5,0,driveway,,,
dvd box,823,5,0,dvd box,,,
earth,837,5,0,earth,,,
eggs,842,5,0,eggs,,,
envelopes,864,5,0,envelopes,,,
fern,911,5,0,fern,,,
fish farm water,949,5,0,fish farm water,,,
fish tank,951,5,0,fish tank,,,
flame,958,5,0,flame,,,
forge,1018,5,0,forge,,,
fruit stand,1036,5,0,fruit stand,,,
funnel,1046,5,0,funnel,,,
gas cylinder,1073,5,0,gas cylinder,,,
glass separation,1097,5,0,glass separation,wine,,
glove,1100,5,0,glove,,,
gloves,1102,5,0,gloves,,,
golf ball,1109,5,0,golf ball,,,
grinder,1143,5,0,grinder,,,
hammock,1172,5,0,hammock,,,
handbag,1178,5,0,handbag,,,
huts,1286,5,0,huts,,door,
ice field,1294,5,0,ice field,,,
ice hockey rink,1297,5,0,ice hockey rink,,,
ice mountain,1300,5,0,ice mountain,,,
jack,1345,5,0,jack,,,
jewelry display,1353,5,0,jewelry display,,,
jug,1358,5,0,jug,,,
kennels,1366,5,0,kennels,,,
mantle,1497,5,0,mantle,,,
marker,1502,5,0,marker,,,
massage bed,1506,5,0,massage bed,,,
material,1510,5,0,material,"construction, contruction",,
meat bags,1519,5,0,meat bags,,,
mesh guard rail,1535,5,0,mesh guard rail,,,
mixer,1570,5,0,mixer,,,
necklaces,1649,5,0,necklaces,,,
office,1678,5,0,office,,,
onions,1689,5,0,onions,,,
orange,1692,5,0,"orange, oranges",,,
ornaments,1701,5,0,ornaments,,,
overhang,1710,5,0,overhang,,,
packets,1721,5,0,packets,foodstuffs,,
paint pot,1733,5,0,paint pot,,,
park,1774,5,0,park,,,
plant box,1907,5,0,plant box,,"plant, plants",
posters,1970,5,0,posters,,,
pyramid,2029,5,0,pyramid,,,
railroad track,2056,5,0,railroad track,,,
record player,2083,5,0,record player,,,
refuge,2097,5,0,refuge,,,
rose window,2164,3,2,rose window,,"building, edifice",
rotisserie,2165,5,0,rotisserie,,,
rubbish,2174,5,0,rubbish,,,
runway strip,2186,5,0,runway strip,,,
salt and pepper,2204,5,0,salt and pepper,,,
salt marsh,2206,5,0,salt marsh,,,
sand dunes,2214,5,0,sand dunes,,,
sandbar,2219,5,0,sandbar,,,
sandwich,2222,5,0,sandwich,,,
santa claus,2223,5,0,santa claus,,,
sauna,2231,5,0,sauna,,,
screens,2255,5,0,screens,,,
security checkpoint,2284,5,0,security checkpoint,,,
security door frame,2287,5,0,security door frame,,,
seedbed,2289,5,0,seedbed,,,
shampoo,2314,5,0,shampoo,,,
shorts,2353,5,0,shorts,,,
shower room,2360,5,0,shower room,,,
ski trail,2407,5,0,ski trail,,,
soil,2474,5,0,soil,ground,,
spice jar,2493,5,0,spice jar,,,
spire,2502,5,0,spire,rock,,
square,2518,5,0,square,,,
station,2545,5,0,station,,,
steam room,2552,5,0,steam room,,,
strawberry,2604,5,0,strawberry,,,
street market,2610,5,0,street market,,,
strips,2623,5,0,strips,,,
subway,2634,5,0,subway,,"door, headlight, window",
sugar,2635,5,0,sugar,,,
tallboy,2701,5,0,tallboy,,,
tarp,2717,5,0,tarp,,,
terrace cafe,2743,5,0,terrace cafe,,,
tie,2766,5,0,tie,,,
ties,2767,5,0,ties,,,
till,2771,5,0,till,,,
toothpaste,2812,5,0,toothpaste,tube,,
trough,2876,5,0,trough,,,
vacuum cleaner,2923,5,0,vacuum cleaner,,,
vessel,2947,5,0,vessel,,,
wagon,2972,3,2,wagon,,"door, handle, window","train, railroad train"
warehouse,2986,5,0,warehouse,,,
water ditch,2999,5,0,water ditch,,,
webcam,3026,4,1,webcam,,"computer, computing machine, computing device, data processor, electronic computer, information processing system",
wooden wedge,3084,5,0,wooden wedge,,,
"water vapor, water vapour",3130,5,0,water vapor,,,
"art, fine art",3134,5,0,art,,,
"highlight, highlighting",3146,5,0,highlight,,,
ceramics,3170,5,0,ceramics,,,
window,3050,0,42449,window,"awning, bay, bow, casement, colonial, glass, horizontal slider, open, sigle hung, single hun, single hung, sliding, special shape, specialty","bars, blind, casing, column, door, handle, interior casing, lower sash, muntin, pane, panel, rail, railing, roof, sash, shutter, sill, stile, sutter, upper sash, window, wiper","barn, beacon, lighthouse, beacon light, pharos, boat, booth, cubicle, stall, kiosk, building, edifice, bus, autobus, coach, charabanc, double-decker, jitney, motorbus, motorcoach, omnibus, passenger vehicle, cabin, car, auto, automobile, machine, motorcar, caravan, carriage, church, cockpit, control tower, dollhouse, door, dormer, factory, fort, fuselage, garage door, helicopter, henhouse, house, houseboat, hovel, hut, hutch, shack, shanty, inflatable bounce game, microwave, microwave oven, mosque, observation tower, oven, pilot cockpit, plaything, toy, ranch, service station, shanties, shanty, shed, shelter, ship, skyscraper, subway, temple, toll booth, tower, train, railroad train, tramway, truck, motortruck, truckle bed, van, wagon, watchtower, water mill, wheelhouse, windmill, aerogenerator, wind generator, window, windowpane, window"
door,774,5142,11953,"door, doors, garage door","bars, cell, colonial, double, double door, dutch, folding, freezer, frezeer, glass, metal, open, paianted wood, painated wood, painted  wood, painted wood, paited wood, parking, pointed wood, revolving, sliding, specialty, wood","bed, button, button panel, buttons, dial, display, door, door frame, front, handle, hinge, ice maker, key, knob, knocker, latch, lock, mirror, muntin, padlock, pane, panel, rail, screen, side, stile, window","airplane, aeroplane, plane, balcony, bar, base, pedestal, stand, beacon, lighthouse, beacon light, pharos, bookcase, buffet, counter, sideboard, building, edifice, bus, autobus, coach, charabanc, double-decker, jitney, motorbus, motorcoach, omnibus, passenger vehicle, cabin, cabinet, cage, canopy, car, auto, automobile, machine, motorcar, caravan, case, display case, showcase, vitrine, chest of drawers, chest, bureau, dresser, church, closet, cold store, confessional booth, desk, dishwasher, dish washer, dishwashing machine, doble door, dollhouse, door, double door, drawer, dryer, factory, file, file cabinet, filing cabinet, fort, fuselage, garage, gazebo, greenhouse, guardhouse, helicopter, henhouse, house, houseboat, hovel, hut, hutch, shack, shanty, huts, kitchen island, lockers, microwave, microwave, microwave oven, mosque, observatory, outhouse wc, oven, pantry, pastry, pilot cockpit, plaything, toy, ranch, refrigerator, icebox, ruins, seat, service station, shanties, shed, shelf, shelter, sill, stove, kitchen stove, range, kitchen range, cooking stove, street box, subway, table, television stand, temple, tent, collapsible shelter, terrace, toll booth, tower, train, railroad train, tramway, truck, motortruck, van, wagon, wardrobe, closet, press, washer, automatic washer, washing machine, washing machines, watchtower, windmill, aerogenerator, wind generator, windowpane, window, work surface"
leg,1433,2,7554,leg,"meg, metal, paianted wood, painted wood, pedestal, plastic, vood, wicker, wod, wood",wheel,"animal, animate being, beast, brute, creature, fauna, armchair, back, base, bed, bench, buffet, counter, sideboard, cabinet, chair, chest, chest of drawers, chest, bureau, dresser, coffee table, cocktail table, console table, console, counter, cradle, deck chair, beach chair, desk, grand piano, grand, kitchen island, ottoman, pouf, pouffe, puff, hassock, oven, piano, pianoforte, forte-piano, pool table, billiard table, snooker table, rocking chair, rocker, shelf, sofa bed, sofa, couch, lounge, stool, table, tennis table, throne, wardrobe, closet, press, work surface"
handle,1180,0,7307,handle,"ceramic, door, glass, inset, metal, mteal, netal, painted wood, wood",key,"bag, traveling bag, travelling bag, grip, suitcase, basin, bathtub, bathing tub, bath, tub, bookcase, bowl, button panel, cabinet, car, auto, automobile, machine, motorcar, ceramic pot, chest, chest of drawers, chest, bureau, dresser, cold store, console, crock, cup, door, double door, drawer, elevator door, kettle, boiler, machine, mug, oven, pan, pitcher, ewer, portable fridge, pot, refrigerator, icebox, sash, saucepan, screen door, screen, shower door, side, stove, kitchen stove, range, kitchen range, cooking stove, table, teacup, teapot, tureen, van, wagon, watering can, window, windowpane, window"
drawer,789,115,5727,drawer,"metal, paianated wood, painted  wood, painted wood, panted wood, woo, wooc, wood","door, drawer, front, handle, knob, lock, side, skirt","apron, bar, bed, bookcase, buffet, counter, sideboard, cabinet, chest, chest of drawers, chest of drawers, chest, bureau, dresser, closet, coffee table, cocktail table, console table, console, cradle, desk, drawer, dressing table, file cabinet, file, file cabinet, filing cabinet, headboard, kitchen island, lab bench, oven, pantry, pastry, refrigerator, icebox, seat, seat base, sewing machine, shelf, side, stove, kitchen stove, range, kitchen range, cooking stove, table, television stand, wardrobe, closet, press, workbench"
light source,1448,0,5603,light source,"non visible, on",highlight,"bulb, candle, taper, wax light, ceiling recessed light, ceiling spotlight, chandelier, pendant, pendent, clamp lamp, desk lamp, fan, floor lamp, floor recessed light, fluorescent, fluorescent fixture, flush mount light, light bulb, lightbulb, bulb, incandescent lamp, electric light, electric-light bulb, light troffer, light, light source, night light, pendant lamp, sconce, semi-flush mount light, table lamp, torchiere lamp, wall recessed light, wall spotlight, xxx"
